product_rank,product_name,category,product_revenue_usd,cumulative_catalog_pct,cumulative_revenue_share_pct
1,Automatic Espresso & Cappuccino Machine,Home & Kitchen,11866.0,3.0,14.89
2,Waterproof Trench Coat Jacket,Apparel,6235.0,6.1,22.71
3,Ultra-Slim 4K Monitor 27-inch,Electronics,5099.83,9.1,29.11
4,Wireless Noise-Canceling Headphones,Electronics,3749.75,12.1,33.81
5,Sonic Electric Toothbrush with UV Sanitizer,Beauty,3239.0,15.2,37.88
6,Cast Iron Dutch Oven 6-Quart,Home & Kitchen,3026.0,18.2,41.67
7,Luxury Bamboo Queen Sheet Set,Home & Kitchen,2970.0,21.2,45.4
8,Adjustable Neoprene Dumbbell Set (Pair),Sports,2890.0,24.2,49.02
9,Slim-Fit Stretch Denim Jeans,Apparel,2856.0,27.3,52.61
10,Smart Home Hub Speaker,Electronics,2719.66,30.3,56.02
11,Ceramic Non-Stick Skillet Set,Home & Kitchen,2449.0,33.3,59.09
12,Performance Athletic Hoodie,Apparel,2442.0,36.4,62.16
13,Trail Running Hydration Vest Pack,Sports,2047.0,39.4,64.72
14,1080p Streaming Webcam with Ring Light,Electronics,2029.71,42.4,67.27
15,Seamless Modal Lounge Pants,Apparel,2024.0,45.5,69.81
16,High-Density Yoga Mat with Carrying Strap,Sports,1890.0,48.5,72.18
17,Ergonomic Mechanical Keyboard RGB,Electronics,1889.79,51.5,74.55
18,Japanese Damascus Chef's Knife 8-inch,Home & Kitchen,1805.0,54.5,76.82
19,Classic Organic Cotton Crewneck T-Shirt,Apparel,1680.0,57.6,78.92
20,Portable Power Bank 20000mAh,Electronics,1639.59,60.6,80.98
21,Ultralight Camping Hammock with Tree Straps,Sports,1617.0,63.6,83.01
22,Precision Optical Gaming Mouse,Electronics,1594.71,66.7,85.01
23,Fast Wireless Charging Dock 3-in-1,Electronics,1449.71,69.7,86.83
24,Vitamin C Radiance Glow Daily Cream,Beauty,1440.0,72.7,88.64
25,Breathable Running Shorts,Apparel,1254.0,75.8,90.21
26,Stainless Steel Pour-Over Kettle,Home & Kitchen,1248.0,78.8,91.77
27,SPF 50 Mineral Sunscreen Broad Spectrum,Beauty,1050.0,81.8,93.09
28,Aromatherapy Ultrasonic Diffuser,Home & Kitchen,1020.0,84.8,94.37
29,Hydrating Hyaluronic Acid Serum,Beauty,1014.0,87.9,95.64
30,Gentle Exfoliating Cleanser 200ml,Beauty,1012.0,90.9,96.91
31,Botanical Nourishing Hair Mask,Beauty,984.0,93.9,98.15
32,Insulated Stainless Steel Water Bottle 32oz,Sports,896.0,97.0,99.27
33,Merino Wool Winter Beanie,Apparel,580.0,100.0,100.0
