product_id,product_name,category,sub_category,cost_price,retail_price,stock_quantity,created_at,product_key,profit_margin_pct,price_tier
1,Ultra-Slim 4K Monitor 27-inch,Electronics,Displays,180.0,299.99,1429,2024-12-15 00:00:00,1,40.0,Luxury / Flagship ($150+)
2,Wireless Noise-Canceling Headphones,Electronics,Audio,75.0,149.99,348,2024-12-15 00:00:00,2,50.0,Premium ($75-$150)
3,Ergonomic Mechanical Keyboard RGB,Electronics,Peripherals,45.0,89.99,171,2024-12-15 00:00:00,3,49.99,Premium ($75-$150)
4,Precision Optical Gaming Mouse,Electronics,Peripherals,25.0,54.99,683,2024-12-15 00:00:00,4,54.54,Mid-Tier ($35-$75)
5,Smart Home Hub Speaker,Electronics,Smart Home,38.0,79.99,621,2024-12-15 00:00:00,5,52.49,Premium ($75-$150)
6,1080p Streaming Webcam with Ring Light,Electronics,Peripherals,30.0,69.99,577,2024-12-15 00:00:00,6,57.14,Mid-Tier ($35-$75)
7,Portable Power Bank 20000mAh,Electronics,Accessories,18.0,39.99,405,2024-12-15 00:00:00,7,54.99,Mid-Tier ($35-$75)
8,Fast Wireless Charging Dock 3-in-1,Electronics,Accessories,22.0,49.99,329,2024-12-15 00:00:00,8,55.99,Mid-Tier ($35-$75)
9,Classic Organic Cotton Crewneck T-Shirt,Apparel,Tops,8.0,28.0,1236,2024-12-15 00:00:00,9,71.43,Budget (< $35)
10,Slim-Fit Stretch Denim Jeans,Apparel,Bottoms,22.0,68.0,298,2024-12-15 00:00:00,10,67.65,Mid-Tier ($35-$75)
11,Performance Athletic Hoodie,Apparel,Activewear,26.0,74.0,1329,2024-12-15 00:00:00,11,64.86,Mid-Tier ($35-$75)
12,Breathable Running Shorts,Apparel,Activewear,14.0,38.0,984,2024-12-15 00:00:00,12,63.16,Mid-Tier ($35-$75)
13,Waterproof Trench Coat Jacket,Apparel,Outerwear,55.0,145.0,185,2024-12-15 00:00:00,13,62.07,Premium ($75-$150)
14,Seamless Modal Lounge Pants,Apparel,Loungewear,16.0,44.0,181,2024-12-15 00:00:00,14,63.64,Mid-Tier ($35-$75)
15,Merino Wool Winter Beanie,Apparel,Accessories,10.0,29.0,311,2024-12-15 00:00:00,15,65.52,Budget (< $35)
16,Stainless Steel Pour-Over Kettle,Home & Kitchen,Coffee & Tea,20.0,48.0,567,2024-12-15 00:00:00,16,58.33,Mid-Tier ($35-$75)
17,Automatic Espresso & Cappuccino Machine,Home & Kitchen,Coffee & Tea,160.0,349.0,596,2024-12-15 00:00:00,17,54.15,Luxury / Flagship ($150+)
18,Cast Iron Dutch Oven 6-Quart,Home & Kitchen,Cookware,38.0,89.0,1154,2024-12-15 00:00:00,18,57.3,Premium ($75-$150)
19,Japanese Damascus Chef's Knife 8-inch,Home & Kitchen,Cutlery,42.0,95.0,1352,2024-12-15 00:00:00,19,55.79,Premium ($75-$150)
20,Ceramic Non-Stick Skillet Set,Home & Kitchen,Cookware,32.0,79.0,174,2024-12-15 00:00:00,20,59.49,Premium ($75-$150)
21,Aromatherapy Ultrasonic Diffuser,Home & Kitchen,Decor,12.0,34.0,1269,2024-12-15 00:00:00,21,64.71,Budget (< $35)
22,Luxury Bamboo Queen Sheet Set,Home & Kitchen,Bedding,40.0,110.0,527,2024-12-15 00:00:00,22,63.64,Premium ($75-$150)
23,Hydrating Hyaluronic Acid Serum,Beauty,Skincare,7.0,26.0,1450,2024-12-15 00:00:00,23,73.08,Budget (< $35)
24,Vitamin C Radiance Glow Daily Cream,Beauty,Skincare,9.0,32.0,1236,2024-12-15 00:00:00,24,71.88,Budget (< $35)
25,Sonic Electric Toothbrush with UV Sanitizer,Beauty,Oral Care,28.0,79.0,979,2024-12-15 00:00:00,25,64.56,Premium ($75-$150)
26,Botanical Nourishing Hair Mask,Beauty,Haircare,8.5,24.0,571,2024-12-15 00:00:00,26,64.58,Budget (< $35)
27,Gentle Exfoliating Cleanser 200ml,Beauty,Skincare,6.0,22.0,1039,2024-12-15 00:00:00,27,72.73,Budget (< $35)
28,SPF 50 Mineral Sunscreen Broad Spectrum,Beauty,Suncare,7.5,25.0,1326,2024-12-15 00:00:00,28,70.0,Budget (< $35)
29,Insulated Stainless Steel Water Bottle 32oz,Sports,Hydration,11.0,32.0,689,2024-12-15 00:00:00,29,65.62,Budget (< $35)
30,Adjustable Neoprene Dumbbell Set (Pair),Sports,Fitness,35.0,85.0,133,2024-12-15 00:00:00,30,58.82,Premium ($75-$150)
31,High-Density Yoga Mat with Carrying Strap,Sports,Fitness,15.0,42.0,446,2024-12-15 00:00:00,31,64.29,Mid-Tier ($35-$75)
32,Ultralight Camping Hammock with Tree Straps,Sports,Outdoors,18.0,49.0,985,2024-12-15 00:00:00,32,63.27,Mid-Tier ($35-$75)
33,Trail Running Hydration Vest Pack,Sports,Running,32.0,89.0,816,2024-12-15 00:00:00,33,64.04,Premium ($75-$150)
